player,team,fgp3,fgp3_nba_range,fga3,fga3_nba_range
Damyean Dotson,Houston,0.38929440389294403893,0.40217391304347826087,411,184
Caleb White,East Carolina,0.36941176470588235294,0.40206185567010309278,425,194
Dusty Hannahs,Arkansas,0.41451990632318501171,0.40157480314960629921,427,254
Kodi Justice,Arizona State,0.39723320158102766798,0.40140845070422535211,506,284
Mikal Bridges,Villanova,0.40145985401459854015,0.40119760479041916168,411,167
Matt Thomas,Iowa State,0.40417457305502846300,0.40074906367041198502,527,267
Sheldon McClellan,Miami (FL),0.38380281690140845070,0.40000000000000000000,284,140
Derrick Walton Jr.,Michigan,0.40687160940325497288,0.40000000000000000000,553,305
Tyler Dorsey,Oregon,0.41689373297002724796,0.40000000000000000000,367,150
Justinian Jessup,Boise State,0.42148760330578512397,0.40000000000000000000,242,105
Matt Ryan,Notre Dame,0.39062500000000000000,0.40000000000000000000,192,100
Matt Bohannon,Northern Iowa,0.39612188365650969529,0.39855072463768115942,361,138
Joey King,Minnesota,0.40127388535031847134,0.39855072463768115942,314,138
Tremont Waters,LSU,0.36477987421383647799,0.39837398373983739837,159,123
Tanner Krebs,Saint Mary's,0.38425925925925925926,0.39823008849557522124,216,113
Duane Notice,South Carolina,0.36941580756013745704,0.39823008849557522124,582,226
James Milliken,Creighton,0.36758893280632411067,0.39814814814814814815,253,108
Quentin Snider,Louisville,0.38197424892703862661,0.39800995024875621891,466,201
Carsen Edwards,Purdue,0.38133333333333333333,0.39790575916230366492,375,191
Kendall Stephens,Nevada,0.38936781609195402299,0.39762611275964391691,696,337
Jalen Hudson,Florida,0.36697247706422018349,0.39735099337748344371,327,151
Ron Baker,Wichita State,0.37078651685393258427,0.39726027397260273973,534,219
Manu Lecomte,Baylor,0.40455341506129597198,0.39711191335740072202,571,277
Davon Reed,Miami (FL),0.39591836734693877551,0.39662447257383966245,490,237
Trevon Bluiett,Xavier,0.38619854721549636804,0.39622641509433962264,826,424
Eric Davis Jr.,Texas,0.32872928176795580110,0.39622641509433962264,362,159
Allonzo Trier,Arizona,0.37994722955145118734,0.39613526570048309179,379,207
Avry Holmes,Clemson,0.39273927392739273927,0.39597315436241610738,303,149
Kassius Robertson,Missouri,0.42198581560283687943,0.39583333333333333333,282,144
TJ Haws,BYU,0.37860082304526748971,0.39583333333333333333,243,144
Isaiah Zierden,Creighton,0.37468982630272952854,0.39520958083832335329,403,167
Aubrey Dawkins,Michigan,0.43783783783783783784,0.39516129032258064516,185,124
Malcolm Brogdon,Virginia,0.37354988399071925754,0.39506172839506172840,431,162
Koby McEwen,Utah State,0.33467741935483870968,0.39495798319327731092,248,119
Devonte' Graham,Kansas,0.40896358543417366947,0.39473684210526315789,714,342
Zach Norvell Jr.,Gonzaga,0.37198067632850241546,0.39473684210526315789,207,114
Parker Jackson-Cartwright,Arizona,0.40780141843971631206,0.39436619718309859155,282,142
Vic Law,Northwestern,0.38924050632911392405,0.39416058394160583942,316,137
Jahmal McMurray,SMU,0.38268156424581005587,0.39411764705882352941,358,170
Dillon Brooks,Oregon,0.36338797814207650273,0.39354838709677419355,366,155
Mitchell Wilbekin,Wake Forest,0.38115631691648822270,0.39303482587064676617,467,201
Torian Graham,Arizona State,0.38167938931297709924,0.39259259259259259259,262,135
Buddy Hield,Oklahoma,0.40554156171284634761,0.39222614840989399293,794,283
Eron Harris,Michigan State,0.42597402597402597403,0.39215686274509803922,385,153
Matt Carlino,Marquette,0.40816326530612244898,0.39200000000000000000,245,125
Kellen Dunham,Butler,0.39897260273972602740,0.39200000000000000000,584,250
V.J. Beachem,Notre Dame,0.39436619718309859155,0.39148936170212765957,568,235
Kenny Williams,North Carolina,0.36764705882352941176,0.39097744360902255639,272,133
Daryl Macon,Arkansas,0.41100323624595469256,0.39010989010989010989,309,182
Jon Axel Gudmundsson,Davidson,0.39267015706806282723,0.39000000000000000000,191,100
Dupree McBrayer,Minnesota,0.35944700460829493088,0.39000000000000000000,217,100
King McClure,Baylor,0.35826771653543307087,0.38983050847457627119,254,118
Jared Brownridge,Santa Clara,0.40463458110516934046,0.38961038961038961039,561,231
Nazareth Mitrou-Long,Iowa State,0.36660617059891107078,0.38928571428571428571,551,280
Matt McQuaid,Michigan State,0.37931034482758620690,0.38888888888888888889,319,162
Lonzo Ball,UCLA,0.41884816753926701571,0.38888888888888888889,191,126
John Gillon,Syracuse,0.37500000000000000000,0.38888888888888888889,360,198
Jordan Barnes,Indiana State,0.39732142857142857143,0.38842975206611570248,224,121
Dallas Moore,North Florida,0.42603550295857988166,0.38834951456310679612,169,103
Marcus Marshall,Nevada,0.38235294117647058824,0.38759689922480620155,272,129
Farad Cobb,Cincinnati,0.37058823529411764706,0.38750000000000000000,340,160
Stefan Moody,Ole Miss,0.37263157894736842105,0.38709677419354838710,475,248
Tony Carr,Penn State,0.38400000000000000000,0.38686131386861313869,250,137
Paul Watson,Fresno State,0.35483870967741935484,0.38679245283018867925,248,106
Vincent Edwards,Purdue,0.39243498817966903073,0.38659793814432989691,423,194
Moritz Wagner,Michigan,0.37642585551330798479,0.38655462184873949580,263,119
Elijah Stewart,USC,0.38803418803418803419,0.38645418326693227092,585,251
Ryan Cline,Purdue,0.39482200647249190939,0.38620689655172413793,309,145
Donovan Jackson,Iowa State,0.42322097378277153558,0.38620689655172413793,267,145
Travis Trice,Michigan State,0.39376770538243626062,0.38620689655172413793,353,145
Katin Reinhardt,Marquette,0.38359201773835920177,0.38613861386138613861,451,202
Aaron Holiday,UCLA,0.42042755344418052257,0.38613861386138613861,421,202
MiKyle McIntosh,Oregon,0.34732824427480916031,0.38596491228070175439,262,114
Jeff Roberson,Vanderbilt,0.39318885448916408669,0.38513513513513513514,323,148
Admon Gilder,Texas A&M,0.37215909090909090909,0.38509316770186335404,352,161
Rick Kreklow,Creighton,0.37362637362637362637,0.38461538461538461538,182,104
Toddrick Gotcher,Texas Tech,0.37272727272727272727,0.38461538461538461538,330,143
Jared Nickens,Maryland,0.37391304347826086957,0.38392857142857142857,460,224
Robert Johnson,Indiana,0.38671209540034071550,0.38360655737704918033,587,305
Chris Chiozza,Florida,0.32745591939546599496,0.38349514563106796117,397,206
Duncan Robinson,Michigan,0.42429906542056074766,0.38348082595870206490,535,339
Elijah Bryant,BYU,0.35813953488372093023,0.38333333333333333333,215,120
