nba_id,ncaa_id
203919,179e5d01-ad3c-44f6-95b9-97df9b20ddaa
1626146,21b5a8d7-255d-406a-9d38-3d23b7345df0
1628386,39c05ecd-1f37-4345-b0f6-aa46219e8a32
1628443,f7cbc993-f98b-4ac3-8584-5bd54f8e3cc3
1626147,6fa5e304-e0d5-4100-96cb-c142d765bf39
203937,7cd3ed8d-82a7-4823-b064-0e70ad3f6216
1628387,a06d5925-b0be-40f8-bd93-218e736c6528
1628384,4dc5f30f-aa7a-4bc4-8377-f586b7007356
203951,41476bc5-aa69-4753-a178-7f9cdabc2512
1627853,fdcc1ff6-570e-406f-9091-e49b34edb890
1628503,4e2c5570-a16a-4ed0-ba7c-eef828a0513e
1628407,72449a1d-9868-48c4-b19a-6535a1786352
203946,95a81358-cb2e-4cb0-a35c-81ea2800239b
1627758,3f152708-496a-4e3d-a67b-96d7e94bf300
1627735,87b1ddf8-fbad-4cbf-a06c-7babf045498f
1628366,77364461-f596-4b6f-ab3e-f1acd3d0174c
1627736,3e96b3cc-d2d3-4caa-9d44-7ff14110a90a
1627761,84082f2f-cdc4-43cd-9c5a-e7fda823f234
203968,69732fd4-898a-4bc1-bd07-129550a56608
1627791,8357dd76-0ee6-47fe-9866-463dbbb093d0
204021,7a7be8f8-68b9-4028-b60d-b039efe4ce7a
203920,5b115b57-ec2f-4e73-830c-5254d3e77d87
1628444,0999eec2-5d4c-4400-a2b9-96cfb81e0530
204028,913d72bc-1917-49ec-b84b-e5858778a28b
1628469,ba7163ea-6ab7-486f-b466-0bcd7e409a1f
1627762,9be57161-a21e-4198-85d7-fa629ae5137a
1626164,af5417ae-7d9a-4ffd-925e-74d914396f67
1628449,38524244-b269-460c-aa81-600e8726eff3
1628396,7e76ca62-9d12-4a43-9251-c539e10f5944
1627763,eb2c97c3-05a8-4d3e-9af1-0e944bb129c1
1628415,d6f7252d-0f19-43d3-8b8b-00a77584cba1
1626148,ff9a1102-e881-4cf4-9d96-523f1883a2be
203913,a42ba52d-9620-4029-bf4a-9c2722bbec8e
1627759,453b7277-cb31-4dd1-8b3b-46acbd8bb24d
203900,f74d8f52-ecaf-41eb-a550-fc0cc0c1a4c7
1628425,ecce7807-d74d-4c56-936c-1369a0d88e19
1628418,5efe3dfb-2efc-483d-a0b8-c7df470e1568
1627936,e8cea9fc-04fe-494c-be69-9fdf50cff1f8
1626161,2dde8402-ab7a-4714-9b6a-20e3faaa42a2
1628463,81b05b4a-43e8-4343-b9ad-bde277b68726
1627737,2fa0c978-1586-4201-a56f-093637ec3e10
1626176,8299aaee-236e-4295-9890-daf1a41e85e3
203902,f009bb26-be39-4e0e-8a28-a9bf7673385c
1626262,d3527990-e1b5-427f-9129-12b14cf7457e
203903,19a9aa11-92e6-40e6-accd-0f5f8bde8674
1628492,c0d93945-cc5f-47b1-9691-cce3c2074be0
1628499,bc521a82-be9b-4131-acaf-01176d9abd1e
1628381,0928dba8-a51e-4c03-be8a-b97203ef57b3
1628380,d90a9a35-148a-4b47-a1d3-109166b10b9c
1627858,f596ad4e-b757-42c2-82e1-ad3d1b8032de
1626192,7f484550-be01-49df-8419-c262535dbb19
1626188,df89300b-42af-43eb-8873-7bda04941c56
1628429,7e38e3e1-07d7-438b-bba3-eae3b2c9841b
1627856,2af2ce51-5235-4403-9841-4c9430cb8f1b
203955,160c8a08-74b9-40f6-8f53-edcfdf4fbdf3
1628470,5c14d06d-f39f-4038-9acb-9fb0b1c6cee2
1627738,777e53d7-245e-4021-b52d-f5bc27947480
203958,1d3c6426-5cfa-4340-bc71-8b3f858c5690
1626183,ad59542c-f03f-4e2c-bede-ceac765ab14a
1626214,eb8c98a2-ba3f-4a53-9212-2120d04114c1
1626155,f75e79a3-b9f8-4541-b75e-fb5477c3600f
1627767,3dde97d8-9a11-475f-accb-df503e5f0971
203915,9347b8bf-3ed4-4697-8e7e-7af7b209f22b
1628416,103b4103-d20e-417f-9707-2c5a37a670f1
1628422,ec7266dd-6aea-4c87-a131-6e5ab249e277
1628495,0fcbc342-de4b-47e7-9497-1303c4bd9c6e
1628408,8e2afff3-333a-402c-9faa-0fd40f458996
1626251,c83b8912-e5f9-41e1-b1c2-149b2d256374
1627739,847873b9-124f-4957-8c43-24187cfb20d3
203921,3de0fc34-8c9c-43fd-a857-9c700e6c1d56
204067,57fbfac5-c565-42b0-bcc0-327599abedc4
1627740,b6879af6-d0de-4a55-8ba7-57477242a387
203954,7dd1134d-fb80-4a7c-9cf8-3a56d930591f
203898,353eb718-736c-4d53-bb1f-4dd277c56c6a
1628393,35f7d821-326a-454f-b06e-b1ef060fefe7
1627812,748122de-e5c0-4f10-97bd-6670088ae147
1627827,5b20dcea-511a-4f12-8e3d-1210f30f9cc3
1627854,b9301ce1-2c21-452d-99c6-219cd29297f2
1628368,2ac4490d-db3b-4181-80d7-34b8c0cde3ff
204025,ca1cb430-f3e4-4f3d-8002-7d817e2763f0
1628365,36242cac-2850-4244-91d5-256af78c054c
